,HODBIN2,DATE,station_id,WEEKDAY,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
74,0,10/16/2019,42 ST-PORT AUTH-1237ACENQRSW,Wednesday,40.757303,-73.98978699999999,6388.0,6753.0
75,0,10/16/2019,47-50 STS ROCK-BDFM,Wednesday,40.758652000000005,-73.981311,10849.0,2853.0
76,0,10/16/2019,49 ST-NQRW,Wednesday,40.760139,-73.984112,2662.0,1101.0
77,0,10/16/2019,5 AV/53 ST-EM,Wednesday,40.760179,-73.975196,1035.0,449.0
78,0,10/16/2019,5 AVE-7BDFM,Wednesday,40.753824,-73.981966,2228.0,430.0
79,0,10/16/2019,50 ST-1,Wednesday,40.761675,-73.983908,5818.0,1906.0
80,0,10/16/2019,50 ST-CE,Wednesday,40.762439,-73.985989,2269.0,2013.0
81,0,10/16/2019,50 ST-D,Wednesday,40.636232,-73.994765,182.0,331.0
82,0,10/16/2019,51 ST-6,Wednesday,40.757108,-73.97187,2676.0,1202.0
83,0,10/16/2019,57 ST-7 AV-NQRW,Wednesday,40.764755,-73.980646,3219.0,897.0
84,0,10/16/2019,57 ST-F,Wednesday,40.763625,-73.977449,3556.0,1052.0
85,0,10/16/2019,59 ST COLUMBUS-1ABCD,Wednesday,40.76811,-73.981891,13267.0,5480.0
86,0,10/16/2019,59 ST-456NQRW,Wednesday,40.762796,-73.967686,6616.0,3049.0
87,0,10/16/2019,59 ST-NRW,Wednesday,40.641426,-74.017972,520.0,1128.0
88,0,10/16/2019,7 AV-BDE,Wednesday,40.762877,-73.98159,3073.0,1834.0
89,0,10/16/2019,7 AV-BQ,Wednesday,40.677172,-73.972514,472.0,876.0
90,0,10/16/2019,7 AV-FG,Wednesday,40.666276,-73.980324,459.0,791.0
91,0,10/16/2019,GRD CNTRL-42 ST-4567S,Wednesday,40.751849,-73.976945,12375.0,7651.0
92,0,10/16/2019,LEXINGTON AV/53-6EM,Wednesday,40.757529999999996,-73.969102,4465.0,2530.0
93,0,10/16/2019,TIMES SQ-42 ST-1237ACENQRS,Wednesday,40.755905,-73.98650400000001,4731.0,777.0
94,0,10/16/2019,TIMES SQ-42 ST-1237ACENQRSW,Wednesday,40.755905,-73.98650400000001,14148.0,6837.0
95,0,10/17/2019,42 ST-BRYANT PK-7BDFM,Thursday,40.754197999999995,-73.984573,7320.0,1754.0
96,0,10/17/2019,42 ST-PORT AUTH-1237ACEGNRSW,Thursday,40.757303,-73.98978699999999,2949.0,569.0
97,0,10/17/2019,42 ST-PORT AUTH-1237ACENQRSW,Thursday,40.757303,-73.98978699999999,6439.0,7812.0
98,0,10/17/2019,47-50 STS ROCK-BDFM,Thursday,40.758652000000005,-73.981311,10348.0,1900.0
99,0,10/17/2019,49 ST-NQRW,Thursday,40.760139,-73.984112,1828.0,774.0
100,0,10/17/2019,5 AV/53 ST-EM,Thursday,40.760179,-73.975196,973.0,281.0
101,0,10/17/2019,5 AVE-7BDFM,Thursday,40.753824,-73.981966,2142.0,297.0
