,DATE,station_id,LAT,LON,ENTRIES_diff_sum,EXITS_diff_sum
93,10/12/2019,36 AV-NQW,40.756977,-73.929373,3033.0,1537.0
94,10/12/2019,36 ST-DNR,40.65515,-74.003477,8693.0,7177.0
95,10/12/2019,36 ST-MR,40.75202,-73.92874,2634.0,1708.0
96,10/12/2019,39 AV-NQW,40.753076,-73.93271,1507.0,508.0
97,10/12/2019,4 AV-9 ST-DFGMNR,40.670320000000004,-73.98875699999999,4250.0,5794.0
98,10/12/2019,40 ST LOWERY ST-7,40.743778000000006,-73.923998,5651.0,4534.0
99,10/12/2019,42 ST-BRYANT PK-7BDFM,40.754197999999995,-73.984573,45033.0,56817.0
100,10/12/2019,42 ST-PORT AUTH-1237ACEGNRSW,40.757303,-73.98978699999999,17900.0,23124.0
101,10/12/2019,42 ST-PORT AUTH-1237ACENQRSW,40.757303,-73.98978699999999,102084.0,105312.0
102,10/12/2019,45 ST-R,40.648866,-74.010086,4710.0,2795.0
103,10/12/2019,46 ST BLISS ST-7,40.743078999999994,-73.918419,16646.0,11480.0
104,10/12/2019,46 ST-MR,40.756312,-73.913333,12885.0,10236.0
105,10/12/2019,47-50 STS ROCK-BDFM,40.758652000000005,-73.981311,57246.0,69096.0
106,10/12/2019,49 ST-NQRW,40.760139,-73.984112,33572.0,18684.0
107,10/12/2019,4AV-9 ST-DFGMNR,40.670320000000004,-73.98875699999999,9540.0,7094.0
108,10/12/2019,5 AV/53 ST-EM,40.760179,-73.975196,12842.0,16534.0
109,10/12/2019,5 AV/59 ST-NQRW,40.764909,-73.973372,18872.0,13130.0
110,10/12/2019,5 AVE-7BDFM,40.753824,-73.981966,10956.0,10774.0
111,10/12/2019,50 ST-1,40.761675,-73.983908,11670.0,18610.0
112,10/12/2019,50 ST-CE,40.762439,-73.985989,29626.0,19092.0
113,10/12/2019,50 ST-D,40.636232,-73.994765,936.0,662.0
114,10/12/2019,51 ST-6,40.757108,-73.97187,24108.0,26118.0
115,10/12/2019,52 ST-7,40.744103,-73.912497,3977.0,3144.0
116,10/12/2019,53 ST-R,40.644959,-74.014034,5080.0,4447.0
117,10/12/2019,55 ST-D,40.631412,-73.995473,509.0,227.0
118,10/12/2019,57 ST-7 AV-NQRW,40.764755,-73.980646,36450.0,27934.0
119,10/12/2019,57 ST-F,40.763625,-73.977449,9248.0,12159.0
